datetime,suburb,station_id,station_name,temperature,humidity,wind_speed,air_pressure,precipitation
2020-01-01 01:00:00,Parramatta,94765,Bankstown,26.1,49,9.4,1013.6,
2020-01-01 02:00:00,Parramatta,94765,Bankstown,26.2,49,20.5,1012.8,
2020-01-01 04:00:00,Parramatta,94765,Bankstown,25.4,56,31.7,1012.9,
2020-01-01 05:00:00,Parramatta,94765,Bankstown,25.4,56,29.5,1012.8,
2020-01-01 07:00:00,Parramatta,94765,Bankstown,23.4,64,24.1,1014.0,
2020-01-01 08:00:00,Parramatta,94765,Bankstown,23.0,67,22.3,1015.1,
2020-01-01 10:00:00,Parramatta,94765,Bankstown,22.1,72,24.1,1017.6,
2020-01-01 11:00:00,Parramatta,94765,Bankstown,21.3,76,18.4,1018.5,
2020-01-01 13:00:00,Parramatta,94765,Bankstown,20.1,73,16.6,1019.1,
2020-01-01 14:00:00,Parramatta,94765,Bankstown,20.3,72,16.6,1018.7,
2020-01-01 16:00:00,Parramatta,94765,Bankstown,20.5,70,11.2,1018.0,
2020-01-01 17:00:00,Parramatta,94765,Bankstown,20.4,70,13.0,1017.9,
2020-01-01 19:00:00,Parramatta,94765,Bankstown,20.4,69,9.4,1018.6,
2020-01-01 20:00:00,Parramatta,94765,Bankstown,20.4,70,13.0,1019.3,
2020-01-01 22:00:00,Parramatta,94765,Bankstown,21.6,67,13.0,1019.9,
2020-01-01 23:00:00,Parramatta,94765,Bankstown,22.4,62,11.2,1019.8,
2020-01-02 01:00:00,Parramatta,94765,Bankstown,23.6,59,11.2,1018.9,
2020-01-02 02:00:00,Parramatta,94765,Bankstown,24.6,55,9.4,1018.1,
2020-01-02 04:00:00,Parramatta,94765,Bankstown,26.1,48,24.1,1016.8,
2020-01-02 05:00:00,Parramatta,94765,Bankstown,25.4,50,27.7,1016.3,
2020-01-02 07:00:00,Parramatta,94765,Bankstown,24.1,61,25.9,1016.1,
2020-01-02 08:00:00,Parramatta,94765,Bankstown,23.4,66,24.1,1016.8,
2020-01-02 10:00:00,Parramatta,94765,Bankstown,22.8,70,20.5,1018.4,
2020-01-02 11:00:00,Parramatta,94765,Bankstown,22.8,71,20.5,1018.9,
2020-01-02 13:00:00,Parramatta,94765,Bankstown,22.6,72,16.6,1019.1,
2020-01-02 14:00:00,Parramatta,94765,Bankstown,22.4,72,11.2,1018.3,
2020-01-02 16:00:00,Parramatta,94765,Bankstown,22.0,74,7.6,1016.9,
2020-01-02 17:00:00,Parramatta,94765,Bankstown,21.8,75,7.6,1016.9,
2020-01-02 19:00:00,Parramatta,94765,Bankstown,21.2,80,5.4,1017.0,
2020-01-02 20:00:00,Parramatta,94765,Bankstown,22.0,77,7.6,1017.3,
2020-01-02 22:00:00,Parramatta,94765,Bankstown,24.3,69,5.4,1017.5,
2020-01-02 23:00:00,Parramatta,94765,Bankstown,25.4,65,5.4,1017.0,
2020-01-03 01:00:00,Parramatta,94765,Bankstown,29.6,52,13.0,1014.7,
2020-01-03 02:00:00,Parramatta,94765,Bankstown,30.8,50,20.5,1013.7,
2020-01-03 04:00:00,Parramatta,94765,Bankstown,31.8,50,27.7,1011.8,
2020-01-03 05:00:00,Parramatta,94765,Bankstown,29.7,53,25.9,1011.3,
2020-01-03 07:00:00,Parramatta,94765,Bankstown,28.7,51,24.1,1010.4,
2020-01-03 08:00:00,Parramatta,94765,Bankstown,27.4,57,20.5,1011.1,
2020-01-03 10:00:00,Parramatta,94765,Bankstown,25.8,61,7.6,1011.8,
2020-01-03 11:00:00,Parramatta,94765,Bankstown,25.4,66,9.4,1012.0,
2020-01-03 13:00:00,Parramatta,94765,Bankstown,23.9,76,9.4,1011.5,
2020-01-03 14:00:00,Parramatta,94765,Bankstown,23.2,80,11.2,1011.3,
2020-01-03 16:00:00,Parramatta,94765,Bankstown,21.8,84,0.0,1010.2,
2020-01-03 17:00:00,Parramatta,94765,Bankstown,21.4,89,0.0,1010.0,
2020-01-03 19:00:00,Parramatta,94765,Bankstown,20.8,90,0.0,1010.4,
2020-01-03 20:00:00,Parramatta,94765,Bankstown,22.3,88,0.0,1010.7,
2020-01-03 22:00:00,Parramatta,94765,Bankstown,27.2,63,9.4,1010.4,
2020-01-03 23:00:00,Parramatta,94765,Bankstown,30.7,51,9.4,1009.4,
2020-01-04 01:00:00,Parramatta,94765,Bankstown,40.6,23,13.0,1007.0,
2020-01-04 02:00:00,Parramatta,94765,Bankstown,43.7,15,13.0,1005.8,
2020-01-04 04:00:00,Parramatta,94765,Bankstown,46.7,8,18.4,1004.1,
2020-01-04 05:00:00,Parramatta,94765,Bankstown,45.9,9,13.0,1003.3,
2020-01-04 07:00:00,Parramatta,94765,Bankstown,40.5,20,18.4,1002.9,
2020-01-04 08:00:00,Parramatta,94765,Bankstown,39.5,21,22.3,1003.3,
2020-01-04 10:00:00,Parramatta,94765,Bankstown,37.1,26,13.0,1004.6,
2020-01-04 11:00:00,Parramatta,94765,Bankstown,27.8,49,35.3,1008.2,
2020-01-04 13:00:00,Parramatta,94765,Bankstown,24.4,56,25.9,1012.5,
2020-01-04 14:00:00,Parramatta,94765,Bankstown,24.1,52,20.5,1012.6,
2020-01-04 16:00:00,Parramatta,94765,Bankstown,23.2,36,14.8,1014.2,
2020-01-04 17:00:00,Parramatta,94765,Bankstown,23.0,33,7.6,1014.5,
2020-01-04 19:00:00,Parramatta,94765,Bankstown,21.9,42,14.8,1016.5,
2020-01-04 20:00:00,Parramatta,94765,Bankstown,22.0,54,20.5,1017.7,
2020-01-04 22:00:00,Parramatta,94765,Bankstown,22.3,59,22.3,1018.8,
2020-01-04 23:00:00,Parramatta,94765,Bankstown,23.1,55,20.5,1018.6,
2020-01-05 01:00:00,Parramatta,94765,Bankstown,25.0,50,24.1,1018.3,
2020-01-05 02:00:00,Parramatta,94765,Bankstown,25.3,50,27.7,1017.9,
2020-01-05 04:00:00,Parramatta,94765,Bankstown,23.0,62,31.7,1018.3,
2020-01-05 05:00:00,Parramatta,94765,Bankstown,22.6,59,35.3,1018.6,
2020-01-05 07:00:00,Parramatta,94765,Bankstown,21.6,62,31.7,1019.9,
2020-01-05 08:00:00,Parramatta,94765,Bankstown,21.4,59,29.5,1020.6,
2020-01-05 10:00:00,Parramatta,94765,Bankstown,21.3,53,22.3,1022.7,
2020-01-05 11:00:00,Parramatta,94765,Bankstown,21.2,54,22.3,1023.6,
2020-01-05 13:00:00,Parramatta,94765,Bankstown,20.7,62,13.0,1022.8,
2020-01-05 14:00:00,Parramatta,94765,Bankstown,19.6,64,5.4,1022.2,
2020-01-05 16:00:00,Parramatta,94765,Bankstown,18.7,71,0.0,1021.1,
2020-01-05 17:00:00,Parramatta,94765,Bankstown,18.4,73,7.6,1020.2,
2020-01-05 19:00:00,Parramatta,94765,Bankstown,18.5,78,5.4,1020.7,
2020-01-05 20:00:00,Parramatta,94765,Bankstown,19.0,76,0.0,1021.1,
2020-01-05 22:00:00,Parramatta,94765,Bankstown,21.9,66,3.6,1021.1,
2020-01-05 23:00:00,Parramatta,94765,Bankstown,22.0,62,14.8,1020.4,
2020-01-06 01:00:00,Parramatta,94765,Bankstown,21.3,71,9.4,1020.3,
2020-01-06 02:00:00,Parramatta,94765,Bankstown,22.3,65,13.0,1019.6,
2020-01-06 04:00:00,Parramatta,94765,Bankstown,23.5,62,13.0,1017.9,
2020-01-06 05:00:00,Parramatta,94765,Bankstown,23.3,65,16.6,1017.1,
2020-01-06 07:00:00,Parramatta,94765,Bankstown,22.8,65,16.6,1017.3,
2020-01-06 08:00:00,Parramatta,94765,Bankstown,22.7,69,13.0,1018.1,
2020-01-06 10:00:00,Parramatta,94765,Bankstown,21.9,79,7.6,1019.8,
2020-01-06 11:00:00,Parramatta,94765,Bankstown,20.8,86,3.6,1020.0,
2020-01-06 13:00:00,Parramatta,94765,Bankstown,20.9,91,5.4,1018.5,
2020-01-06 14:00:00,Parramatta,94765,Bankstown,20.7,93,11.2,1019.0,
2020-01-06 16:00:00,Parramatta,94765,Bankstown,20.3,94,0.0,1015.8,
2020-01-06 17:00:00,Parramatta,94765,Bankstown,20.1,94,9.4,1015.9,
2020-01-06 19:00:00,Parramatta,94765,Bankstown,20.1,93,9.4,1015.2,
2020-01-06 20:00:00,Parramatta,94765,Bankstown,20.7,87,13.0,1016.5,
2020-01-06 22:00:00,Parramatta,94765,Bankstown,22.5,84,3.6,1015.8,
2020-01-06 23:00:00,Parramatta,94765,Bankstown,24.9,72,13.0,1014.4,
2020-01-07 01:00:00,Parramatta,94765,Bankstown,29.1,52,16.6,1013.3,
2020-01-07 02:00:00,Parramatta,94765,Bankstown,29.6,52,13.0,1012.7,
2020-01-07 04:00:00,Parramatta,94765,Bankstown,30.3,48,11.2,1010.9,
2020-01-07 05:00:00,Parramatta,94765,Bankstown,31.8,48,14.8,1009.9,
2020-01-07 07:00:00,Parramatta,94765,Bankstown,29.3,58,22.3,1009.0,
2020-01-07 08:00:00,Parramatta,94765,Bankstown,27.2,63,16.6,1009.9,
2020-01-07 10:00:00,Parramatta,94765,Bankstown,25.9,72,16.6,1011.3,
2020-01-07 11:00:00,Parramatta,94765,Bankstown,24.9,77,18.4,1012.2,
2020-01-07 13:00:00,Parramatta,94765,Bankstown,24.0,81,18.4,1015.1,
2020-01-07 14:00:00,Parramatta,94765,Bankstown,22.9,88,13.0,1013.1,
2020-01-07 16:00:00,Parramatta,94765,Bankstown,22.0,90,9.4,1013.1,
2020-01-07 17:00:00,Parramatta,94765,Bankstown,22.0,89,9.4,1013.0,
2020-01-07 19:00:00,Parramatta,94765,Bankstown,21.2,89,0.0,1014.4,
2020-01-07 20:00:00,Parramatta,94765,Bankstown,21.9,87,7.6,1015.0,
2020-01-07 22:00:00,Parramatta,94765,Bankstown,23.3,76,14.8,1015.9,
2020-01-07 23:00:00,Parramatta,94765,Bankstown,24.3,70,16.6,1015.7,
2020-01-08 01:00:00,Parramatta,94765,Bankstown,26.5,57,24.1,1014.9,
2020-01-08 02:00:00,Parramatta,94765,Bankstown,26.6,56,24.1,1014.6,
2020-01-08 04:00:00,Parramatta,94765,Bankstown,26.8,56,25.9,1014.2,
2020-01-08 05:00:00,Parramatta,94765,Bankstown,26.2,59,25.9,1013.9,
2020-01-08 07:00:00,Parramatta,94765,Bankstown,24.7,58,20.5,1014.3,
2020-01-08 08:00:00,Parramatta,94765,Bankstown,23.5,64,20.5,1014.9,
2020-01-08 10:00:00,Parramatta,94765,Bankstown,22.2,74,14.8,1016.9,
2020-01-08 11:00:00,Parramatta,94765,Bankstown,22.3,71,18.4,1017.4,
2020-01-08 13:00:00,Parramatta,94765,Bankstown,22.0,71,0.0,1017.5,
2020-01-08 14:00:00,Parramatta,94765,Bankstown,21.3,74,0.0,1017.0,
2020-01-08 16:00:00,Parramatta,94765,Bankstown,20.7,78,9.4,1016.1,
2020-01-08 17:00:00,Parramatta,94765,Bankstown,21.3,75,0.0,1016.1,
2020-01-08 19:00:00,Parramatta,94765,Bankstown,21.4,77,11.2,1016.9,
2020-01-08 20:00:00,Parramatta,94765,Bankstown,21.7,75,9.4,1017.5,
2020-01-08 22:00:00,Parramatta,94765,Bankstown,21.9,72,14.8,1018.2,
2020-01-08 23:00:00,Parramatta,94765,Bankstown,22.4,71,14.8,1018.2,
2020-01-09 01:00:00,Parramatta,94765,Bankstown,24.5,63,16.6,1018.0,
2020-01-09 02:00:00,Parramatta,94765,Bankstown,25.5,59,16.6,1017.4,
2020-01-09 04:00:00,Parramatta,94765,Bankstown,26.2,58,18.4,1016.5,
2020-01-09 05:00:00,Parramatta,94765,Bankstown,25.5,61,20.5,1016.1,
2020-01-09 07:00:00,Parramatta,94765,Bankstown,24.2,67,16.6,1015.3,
2020-01-09 08:00:00,Parramatta,94765,Bankstown,23.9,71,16.6,1016.0,
2020-01-09 10:00:00,Parramatta,94765,Bankstown,22.9,77,11.2,1016.4,
2020-01-09 11:00:00,Parramatta,94765,Bankstown,22.7,79,9.4,1016.8,
2020-01-09 13:00:00,Parramatta,94765,Bankstown,22.5,82,7.6,1016.0,
2020-01-09 14:00:00,Parramatta,94765,Bankstown,22.2,83,0.0,1015.2,
2020-01-09 16:00:00,Parramatta,94765,Bankstown,22.3,83,0.0,1014.1,
2020-01-09 17:00:00,Parramatta,94765,Bankstown,22.2,84,0.0,1013.4,
2020-01-09 19:00:00,Parramatta,94765,Bankstown,22.6,82,0.0,1013.3,
2020-01-09 20:00:00,Parramatta,94765,Bankstown,22.8,81,5.4,1013.8,
2020-01-09 22:00:00,Parramatta,94765,Bankstown,24.3,73,13.0,1013.6,
2020-01-09 23:00:00,Parramatta,94765,Bankstown,26.0,66,13.0,1012.4,
2020-01-10 01:00:00,Parramatta,94765,Bankstown,29.9,53,14.8,1009.8,
2020-01-10 02:00:00,Parramatta,94765,Bankstown,31.8,48,14.8,1008.3,
2020-01-10 04:00:00,Parramatta,94765,Bankstown,32.2,51,25.9,1006.0,
2020-01-10 05:00:00,Parramatta,94765,Bankstown,31.8,51,24.1,1004.7,
2020-01-10 07:00:00,Parramatta,94765,Bankstown,31.9,48,18.4,1002.7,
2020-01-10 08:00:00,Parramatta,94765,Bankstown,31.5,48,18.4,1002.6,
2020-01-10 10:00:00,Parramatta,94765,Bankstown,30.2,52,7.6,1003.0,
2020-01-10 11:00:00,Parramatta,94765,Bankstown,30.2,52,7.6,1002.7,
2020-01-10 13:00:00,Parramatta,94765,Bankstown,26.8,65,11.2,1001.7,
2020-01-10 14:00:00,Parramatta,94765,Bankstown,26.6,67,9.4,1002.5,
2020-01-10 16:00:00,Parramatta,94765,Bankstown,22.2,69,25.9,1005.9,
2020-01-10 17:00:00,Parramatta,94765,Bankstown,21.7,69,22.3,1007.2,
2020-01-10 19:00:00,Parramatta,94765,Bankstown,20.4,77,22.3,1010.4,
2020-01-10 20:00:00,Parramatta,94765,Bankstown,20.2,77,18.4,1011.8,
2020-01-10 22:00:00,Parramatta,94765,Bankstown,18.7,80,20.5,1013.3,
2020-01-10 23:00:00,Parramatta,94765,Bankstown,19.1,75,13.0,1013.7,
2020-01-11 01:00:00,Parramatta,94765,Bankstown,20.5,62,20.5,1014.0,
2020-01-11 02:00:00,Parramatta,94765,Bankstown,21.3,57,22.3,1013.7,
2020-01-11 04:00:00,Parramatta,94765,Bankstown,22.3,52,16.6,1013.0,
2020-01-11 05:00:00,Parramatta,94765,Bankstown,22.0,52,20.5,1012.9,
2020-01-11 07:00:00,Parramatta,94765,Bankstown,21.8,55,18.4,1013.1,
2020-01-11 08:00:00,Parramatta,94765,Bankstown,21.5,58,16.6,1014.3,
2020-01-11 10:00:00,Parramatta,94765,Bankstown,21.2,63,14.8,1016.2,
2020-01-11 11:00:00,Parramatta,94765,Bankstown,21.3,64,11.2,1016.7,
2020-01-11 17:00:00,Parramatta,94765,Bankstown,19.9,66,13.0,1016.4,
2020-01-11 19:00:00,Parramatta,94765,Bankstown,19.3,70,9.4,1017.1,
2020-01-11 20:00:00,Parramatta,94765,Bankstown,19.7,71,3.6,1017.3,
2020-01-11 22:00:00,Parramatta,94765,Bankstown,21.2,58,20.5,1018.2,
2020-01-11 23:00:00,Parramatta,94765,Bankstown,21.6,57,16.6,1018.4,
2020-01-12 01:00:00,Parramatta,94765,Bankstown,19.0,84,9.4,1019.2,
2020-01-12 02:00:00,Parramatta,94765,Bankstown,19.4,77,13.0,1018.8,
2020-01-12 04:00:00,Parramatta,94765,Bankstown,18.9,81,14.8,1018.8,
2020-01-12 05:00:00,Parramatta,94765,Bankstown,19.1,75,13.0,1018.8,
2020-01-12 07:00:00,Parramatta,94765,Bankstown,17.8,89,11.2,1018.7,
2020-01-12 08:00:00,Parramatta,94765,Bankstown,18.2,86,13.0,1019.2,
2020-01-12 10:00:00,Parramatta,94765,Bankstown,18.3,86,0.0,1020.3,
2020-01-12 11:00:00,Parramatta,94765,Bankstown,18.1,87,0.0,1020.6,
2020-01-12 13:00:00,Parramatta,94765,Bankstown,17.9,91,3.6,1020.4,
2020-01-12 14:00:00,Parramatta,94765,Bankstown,17.7,92,1.8,1019.8,
2020-01-12 16:00:00,Parramatta,94765,Bankstown,16.9,93,0.0,1019.1,
2020-01-12 17:00:00,Parramatta,94765,Bankstown,16.4,94,0.0,1019.0,
2020-01-12 19:00:00,Parramatta,94765,Bankstown,15.9,94,0.0,1019.2,
2020-01-12 20:00:00,Parramatta,94765,Bankstown,16.6,92,3.6,1019.6,
2020-01-12 22:00:00,Parramatta,94765,Bankstown,19.0,79,5.4,1020.3,
2020-01-12 23:00:00,Parramatta,94765,Bankstown,21.8,65,5.4,1020.0,
2020-01-13 01:00:00,Parramatta,94765,Bankstown,24.5,55,24.1,1019.2,
2020-01-13 02:00:00,Parramatta,94765,Bankstown,23.8,55,25.9,1018.6,
2020-01-13 04:00:00,Parramatta,94765,Bankstown,24.9,47,18.4,1017.4,
2020-01-13 05:00:00,Parramatta,94765,Bankstown,25.5,48,18.4,1016.8,
2020-01-13 07:00:00,Parramatta,94765,Bankstown,24.6,51,22.3,1016.5,
2020-01-13 08:00:00,Parramatta,94765,Bankstown,23.5,62,20.5,1017.1,
2020-01-13 10:00:00,Parramatta,94765,Bankstown,21.9,68,14.8,1018.1,
2020-01-13 11:00:00,Parramatta,94765,Bankstown,21.5,72,11.2,1018.5,
2020-01-13 13:00:00,Parramatta,94765,Bankstown,19.2,83,0.0,1018.4,
2020-01-13 14:00:00,Parramatta,94765,Bankstown,19.3,84,0.0,1018.0,
2020-01-13 16:00:00,Parramatta,94765,Bankstown,17.8,89,0.0,1017.2,
2020-01-13 17:00:00,Parramatta,94765,Bankstown,17.4,90,0.0,1016.9,
2020-01-13 19:00:00,Parramatta,94765,Bankstown,16.6,92,0.0,1017.3,
2020-01-13 20:00:00,Parramatta,94765,Bankstown,17.5,92,0.0,1017.8,
2020-01-13 23:00:00,Parramatta,94765,Bankstown,24.2,64,5.4,1017.7,
2020-01-14 01:00:00,Parramatta,94765,Bankstown,26.1,58,16.6,1017.2,
2020-01-14 02:00:00,Parramatta,94765,Bankstown,26.3,55,20.5,1016.5,
2020-01-14 04:00:00,Parramatta,94765,Bankstown,27.5,49,22.3,1015.5,
2020-01-14 05:00:00,Parramatta,94765,Bankstown,27.6,50,25.9,1014.9,
2020-01-14 07:00:00,Parramatta,94765,Bankstown,25.9,56,20.5,1014.9,
2020-01-14 08:00:00,Parramatta,94765,Bankstown,24.6,59,20.5,1015.4,
2020-01-14 10:00:00,Parramatta,94765,Bankstown,23.0,67,13.0,1016.4,
2020-01-14 11:00:00,Parramatta,94765,Bankstown,22.8,70,11.2,1016.9,
2020-01-14 13:00:00,Parramatta,94765,Bankstown,19.9,83,5.4,1016.3,
2020-01-14 14:00:00,Parramatta,94765,Bankstown,19.2,86,5.4,1015.7,
2020-01-14 16:00:00,Parramatta,94765,Bankstown,18.5,90,0.0,1014.7,
2020-01-14 17:00:00,Parramatta,94765,Bankstown,17.8,92,0.0,1014.1,
2020-01-14 19:00:00,Parramatta,94765,Bankstown,16.9,94,0.0,1014.3,
2020-01-14 20:00:00,Parramatta,94765,Bankstown,17.4,94,0.0,1014.5,
2020-01-14 22:00:00,Parramatta,94765,Bankstown,22.3,75,3.6,1014.8,
2020-01-14 23:00:00,Parramatta,94765,Bankstown,23.9,63,7.6,1014.6,
2020-01-15 01:00:00,Parramatta,94765,Bankstown,27.3,47,9.4,1012.7,
2020-01-15 02:00:00,Parramatta,94765,Bankstown,28.6,47,9.4,1011.7,
2020-01-15 04:00:00,Parramatta,94765,Bankstown,28.0,49,16.6,1010.4,
2020-01-15 05:00:00,Parramatta,94765,Bankstown,27.9,52,22.3,1009.7,
2020-01-15 07:00:00,Parramatta,94765,Bankstown,26.1,63,24.1,1008.4,
2020-01-15 08:00:00,Parramatta,94765,Bankstown,25.6,68,22.3,1008.6,
2020-01-15 10:00:00,Parramatta,94765,Bankstown,24.8,75,13.0,1008.7,
2020-01-15 11:00:00,Parramatta,94765,Bankstown,24.4,78,9.4,1008.8,
2020-01-15 13:00:00,Parramatta,94765,Bankstown,23.6,81,1.8,1008.4,
2020-01-15 14:00:00,Parramatta,94765,Bankstown,23.4,84,5.4,1007.7,
2020-01-15 16:00:00,Parramatta,94765,Bankstown,22.0,90,5.4,1006.7,
2020-01-15 17:00:00,Parramatta,94765,Bankstown,21.9,91,1.8,1007.0,
2020-01-15 19:00:00,Parramatta,94765,Bankstown,22.3,90,9.4,1007.6,
