date,suburb,tmin,tmax,prcp,daily_temp_range,month,is_summer,hot_day,poor_cooling_proxy
2020-01-01,Parramatta,19.0,27.5,0.0,8.5,1,1,1,1
2020-01-02,Parramatta,18.6,28.0,0.0,9.399999999999999,1,1,1,1
2020-01-03,Parramatta,20.2,33.0,0.0,12.8,1,1,1,1
2020-01-04,Parramatta,19.2,47.0,0.0,27.8,1,1,1,1
2020-01-05,Parramatta,21.2,26.8,0.0,5.600000000000001,1,1,1,1
2020-01-06,Parramatta,16.5,23.8,0.0,7.300000000000001,1,1,0,0
2020-01-07,Parramatta,19.5,32.7,4.2,13.200000000000003,1,1,1,1
2020-01-08,Parramatta,21.2,29.0,0.4,7.800000000000001,1,1,1,1
2020-01-09,Parramatta,20.2,26.0,0.0,5.800000000000001,1,1,1,1
2020-01-10,Parramatta,20.4,35.0,0.0,14.600000000000001,1,1,1,1
2020-01-11,Parramatta,18.0,23.3,0.4,5.300000000000001,1,1,0,0
2020-01-12,Parramatta,18.2,21.8,0.2,3.6000000000000014,1,1,0,0
2020-01-13,Parramatta,14.5,26.7,1.2,12.2,1,1,1,0
2020-01-14,Parramatta,15.2,28.4,0.0,13.2,1,1,1,0
2020-01-15,Parramatta,15.5,30.5,0.0,15.0,1,1,1,0
2020-01-16,Parramatta,15.5,30.2,3.4,14.7,1,1,1,0
2020-01-17,Parramatta,17.8,22.0,24.0,4.199999999999999,1,1,0,0
2020-01-18,Parramatta,17.6,23.3,14.0,5.699999999999999,1,1,0,0
2020-01-19,Parramatta,17.8,25.2,5.6,7.399999999999999,1,1,0,0
2020-01-20,Parramatta,18.2,32.0,0.4,13.8,1,1,1,1
2020-01-21,Parramatta,18.8,33.0,0.2,14.2,1,1,1,1
2020-01-22,Parramatta,17.2,33.8,0.0,16.599999999999998,1,1,1,1
2020-01-23,Parramatta,17.2,41.2,0.0,24.000000000000004,1,1,1,1
2020-01-24,Parramatta,20.6,29.0,2.2,8.399999999999999,1,1,1,1
2020-01-25,Parramatta,21.4,30.6,5.2,9.200000000000003,1,1,1,1
2020-01-26,Parramatta,22.6,37.3,0.0,14.699999999999996,1,1,1,1
2020-01-27,Parramatta,23.0,30.2,5.6,7.199999999999999,1,1,1,1
2020-01-28,Parramatta,21.4,33.1,0.0,11.700000000000003,1,1,1,1
2020-01-29,Parramatta,22.2,28.7,0.0,6.5,1,1,1,1
2020-01-30,Parramatta,16.8,31.5,0.0,14.7,1,1,1,0
2020-01-31,Parramatta,20.2,36.0,0.0,15.8,1,1,1,1
2020-02-01,Parramatta,22.0,44.5,0.0,22.5,2,1,1,1
2020-02-02,Parramatta,25.0,32.0,0.0,7.0,2,1,1,1
2020-02-03,Parramatta,22.0,33.8,16.0,11.799999999999997,2,1,1,1
2020-02-04,Parramatta,16.5,22.9,1.2,6.399999999999999,2,1,0,0
2020-02-05,Parramatta,14.4,26.0,0.0,11.6,2,1,1,0
2020-02-06,Parramatta,19.0,23.0,1.6,4.0,2,1,0,0
2020-02-07,Parramatta,17.5,21.5,48.0,4.0,2,1,0,0
2020-02-08,Parramatta,18.0,23.5,51.0,5.5,2,1,0,0
2020-02-09,Parramatta,18.5,22.5,102.0,4.0,2,1,0,0
2020-02-10,Parramatta,17.5,29.5,158.0,12.0,2,1,1,1
2020-02-11,Parramatta,18.5,30.7,0.0,12.2,2,1,1,1
2020-02-12,Parramatta,21.2,26.6,0.0,5.400000000000002,2,1,1,1
2020-02-13,Parramatta,21.0,26.2,13.4,5.199999999999999,2,1,1,1
2020-02-14,Parramatta,19.0,27.6,10.2,8.600000000000001,2,1,1,1
2020-02-15,Parramatta,17.0,28.0,0.0,11.0,2,1,1,0
2020-02-16,Parramatta,17.8,26.5,15.0,8.7,2,1,1,1
2020-02-17,Parramatta,19.6,24.5,0.2,4.899999999999999,2,1,0,0
2020-02-18,Parramatta,18.5,33.5,0.8,15.0,2,1,1,1
2020-02-19,Parramatta,18.4,28.5,11.4,10.100000000000001,2,1,1,1
2020-02-20,Parramatta,14.8,24.5,0.0,9.7,2,1,0,0
2020-02-21,Parramatta,18.9,24.5,0.0,5.600000000000001,2,1,0,0
2020-02-22,Parramatta,18.0,22.8,0.0,4.800000000000001,2,1,0,0
2020-02-23,Parramatta,18.2,24.5,0.2,6.300000000000001,2,1,0,0
2020-02-24,Parramatta,16.6,27.9,0.0,11.299999999999997,2,1,1,0
2020-02-25,Parramatta,18.0,30.8,0.0,12.8,2,1,1,1
