date,suburb,tmax,tmin,daily_temp_range,night_start_time,night_min_time,night_start_temp,night_min_temp,night_hours_to_min,night_total_hours,night_cooling_rate,hot_day,cooling_failure,cooling_risk_category,humidity_mean,wind_speed_mean,air_pressure_mean,precipitation_total,month,is_summer
2020-01-01,Parramatta,26.2,21.3,4.899999999999999,2020-01-01 18:00:00,2020-01-02 00:00:00,23.4,20.1,6.0,10.0,0.5499999999999995,1,1,High risk,61.125,22.5,1014.6625,0.0,1,1
2020-01-02,Parramatta,26.1,20.1,6.0,2020-01-02 18:00:00,2020-01-03 04:00:00,24.1,21.8,10.0,10.0,0.23000000000000007,1,1,Extreme risk,64.5625,16.7125,1018.225,0.0,1,1
2020-01-03,Parramatta,31.8,21.2,10.600000000000001,2020-01-03 18:00:00,2020-01-04 04:00:00,28.7,21.4,10.0,10.0,0.7300000000000001,1,0,Moderate risk,64.0,13.46875,1014.8,0.0,1,1
2020-01-04,Parramatta,46.7,20.8,25.900000000000002,2020-01-04 18:00:00,2020-01-05 04:00:00,40.5,23.0,10.0,10.0,1.75,1,0,Low risk,49.5,11.6125,1007.69375,0.0,1,1
2020-01-05,Parramatta,25.3,21.2,4.100000000000001,2020-01-05 18:00:00,2020-01-06 04:00:00,21.6,18.4,10.0,10.0,0.3200000000000003,0,0,Not hot day,52.25,23.21875,1017.83125,0.0,1,1
2020-01-06,Parramatta,23.5,18.4,5.100000000000001,2020-01-06 18:00:00,2020-01-07 04:00:00,22.8,20.1,10.0,10.0,0.2699999999999999,0,0,Not hot day,69.625,8.9125,1019.98125,0.0,1,1
2020-01-07,Parramatta,31.8,20.1,11.7,2020-01-07 18:00:00,2020-01-08 03:00:00,29.3,22.0,9.0,10.0,0.8111111111111112,1,0,Low risk,73.625,12.15625,1013.76875,0.0,1,1
2020-01-08,Parramatta,26.8,21.2,5.600000000000001,2020-01-08 18:00:00,2020-01-09 03:00:00,24.7,20.7,9.0,10.0,0.4444444444444444,1,1,High risk,72.8125,16.4625,1014.775,0.0,1,1
2020-01-09,Parramatta,26.2,20.7,5.5,2020-01-09 18:00:00,2020-01-10 01:00:00,24.2,22.2,7.0,10.0,0.2857142857142857,1,1,Extreme risk,70.5,11.59375,1016.875,0.0,1,1
2020-01-10,Parramatta,32.2,22.2,10.000000000000004,2020-01-10 18:00:00,2020-01-11 04:00:00,31.9,21.7,10.0,10.0,1.02,1,0,Low risk,64.8125,10.6625,1009.475,0.0,1,1
2020-01-11,Parramatta,26.8,18.7,8.100000000000001,2020-01-11 18:00:00,2020-01-12 04:00:00,21.8,19.9,10.0,10.0,0.19000000000000022,1,1,Extreme risk,65.125,17.74375,1011.275,0.0,1,1
2020-01-12,Parramatta,21.6,17.8,3.8000000000000007,2020-01-12 18:00:00,2020-01-13 04:00:00,17.8,16.4,10.0,10.0,0.1400000000000002,0,0,Not hot day,75.92307692307692,10.576923076923077,1018.5999999999999,0.0,1,1
2020-01-13,Parramatta,25.5,15.9,9.6,2020-01-13 18:00:00,2020-01-14 04:00:00,24.6,17.4,10.0,10.0,0.7200000000000003,0,0,Not hot day,72.375,10.9625,1018.725,0.0,1,1
2020-01-14,Parramatta,27.6,16.6,11.0,2020-01-14 18:00:00,2020-01-15 04:00:00,25.9,17.8,10.0,10.0,0.8099999999999998,1,0,Low risk,70.53333333333333,10.393333333333334,1016.7333333333333,0.0,1,1
2020-01-15,Parramatta,28.6,16.9,11.700000000000003,2020-01-15 18:00:00,2020-01-16 04:00:00,26.1,21.9,10.0,10.0,0.42000000000000026,1,1,High risk,72.25,9.28125,1012.375,0.0,1,1
2020-01-16,Parramatta,28.8,20.6,8.2,2020-01-16 18:00:00,2020-01-17 01:00:00,25.5,20.1,7.0,10.0,0.7714285714285712,1,0,Moderate risk,82.5625,9.54375,1007.18125,0.0,1,1
2020-01-17,Parramatta,22.2,18.6,3.599999999999998,2020-01-17 18:00:00,2020-01-18 01:00:00,22.2,20.3,7.0,10.0,0.27142857142857124,0,0,Not hot day,86.0625,11.6375,1008.8875,0.0,1,1
2020-01-18,Parramatta,24.3,20.3,4.0,2020-01-18 18:00:00,2020-01-19 04:00:00,23.1,19.1,10.0,10.0,0.4,0,0,Not hot day,76.9375,12.3,1009.2375,0.0,1,1
2020-01-19,Parramatta,24.2,18.9,5.300000000000001,2020-01-19 18:00:00,2020-01-20 04:00:00,24.2,21.3,10.0,10.0,0.28999999999999987,0,0,Not hot day,84.0,5.8,1007.31875,0.0,1,1
2020-01-20,Parramatta,30.3,19.6,10.7,2020-01-20 18:00:00,2020-01-21 04:00:00,22.8,17.8,10.0,10.0,0.5,1,1,High risk,77.75,12.0625,1002.40625,0.0,1,1
2020-01-21,Parramatta,29.8,17.0,12.8,2020-01-21 18:00:00,2020-01-22 04:00:00,27.3,19.0,10.0,10.0,0.8300000000000001,1,0,Low risk,63.875,12.05,1006.43125,0.0,1,1
2020-01-22,Parramatta,31.2,18.8,12.399999999999999,2020-01-22 18:00:00,2020-01-23 04:00:00,30.1,19.7,10.0,10.0,1.0400000000000003,1,0,Low risk,66.0,10.2875,1008.7,0.0,1,1
2020-01-23,Parramatta,41.4,19.0,22.4,2020-01-23 18:00:00,2020-01-24 04:00:00,39.9,26.6,10.0,10.0,1.3299999999999996,1,0,Low risk,50.0,10.875,1001.4125,0.0,1,1
2020-01-24,Parramatta,30.2,22.3,7.899999999999999,2020-01-24 18:00:00,2020-01-25 00:00:00,25.3,23.1,6.0,10.0,0.36666666666666653,1,1,High risk,67.375,16.51875,1008.39375,0.0,1,1
2020-01-25,Parramatta,28.9,23.1,5.799999999999997,2020-01-25 18:00:00,2020-01-26 04:00:00,27.1,25.0,10.0,10.0,0.21000000000000013,1,1,Extreme risk,72.5,12.06875,1013.14375,0.0,1,1
2020-01-26,Parramatta,35.4,24.1,11.299999999999997,2020-01-26 18:00:00,2020-01-27 04:00:00,32.2,23.9,10.0,10.0,0.8300000000000004,1,0,Low risk,68.125,12.1,1010.43125,0.0,1,1
2020-01-27,Parramatta,29.2,23.7,5.5,2020-01-27 18:00:00,2020-01-28 04:00:00,28.0,22.8,10.0,10.0,0.5199999999999999,1,1,High risk,71.0,14.9625,1012.725,0.0,1,1
2020-01-28,Parramatta,31.9,22.3,9.599999999999998,2020-01-28 18:00:00,2020-01-29 04:00:00,26.9,23.5,10.0,10.0,0.33999999999999986,1,1,Extreme risk,75.75,12.73125,1011.4625,0.0,1,1
2020-01-29,Parramatta,27.5,23.0,4.5,2020-01-29 18:00:00,2020-01-30 04:00:00,25.6,18.8,10.0,10.0,0.68,1,0,Moderate risk,68.625,16.76875,1015.84375,0.0,1,1
2020-01-30,Parramatta,31.0,17.8,13.2,2020-01-30 18:00:00,2020-01-31 03:00:00,28.1,22.2,9.0,10.0,0.6555555555555558,1,0,Moderate risk,72.375,9.03125,1015.975,0.0,1,1
2020-01-31,Parramatta,34.2,22.2,12.000000000000004,2020-01-31 18:00:00,2020-02-01 04:00:00,32.6,24.0,10.0,10.0,0.8600000000000001,1,0,Low risk,69.0625,9.64375,1013.16875,0.0,1,1
2020-02-01,Parramatta,42.9,24.0,18.9,2020-02-01 18:00:00,2020-02-02 04:00:00,38.2,26.7,10.0,10.0,1.1500000000000004,1,0,Low risk,55.75,10.0875,1008.425,0.0,2,1
2020-02-02,Parramatta,31.8,22.9,8.900000000000002,2020-02-02 18:00:00,2020-02-03 03:00:00,24.4,22.6,9.0,10.0,0.19999999999999968,1,1,Extreme risk,70.75,16.80625,1006.0625,0.0,2,1
2020-02-03,Parramatta,34.0,20.0,14.0,2020-02-03 18:00:00,2020-02-04 04:00:00,26.2,18.8,10.0,10.0,0.7399999999999999,1,0,Moderate risk,69.8125,14.65,1006.7125,0.0,2,1
2020-02-04,Parramatta,22.9,16.8,6.099999999999998,2020-02-04 18:00:00,2020-02-05 04:00:00,22.0,16.8,10.0,10.0,0.5199999999999999,0,0,Not hot day,52.0625,17.63125,1019.74375,0.0,2,1
2020-02-05,Parramatta,25.4,15.8,9.599999999999998,2020-02-05 18:00:00,2020-02-06 03:00:00,24.6,20.2,9.0,10.0,0.48888888888888915,0,0,Not hot day,64.0,11.01875,1019.9250000000001,0.0,2,1
2020-02-06,Parramatta,24.1,20.2,3.900000000000002,2020-02-06 18:00:00,2020-02-07 00:00:00,20.4,20.0,6.0,10.0,0.06666666666666643,0,0,Not hot day,80.75,9.5,1021.2125,0.0,2,1
2020-02-07,Parramatta,20.7,18.9,1.8000000000000007,2020-02-07 18:00:00,2020-02-08 04:00:00,19.9,19.7,10.0,10.0,0.019999999999999928,0,0,Not hot day,90.4375,15.76875,1020.06875,0.0,2,1
2020-02-08,Parramatta,23.4,19.7,3.6999999999999993,2020-02-08 18:00:00,2020-02-08 21:00:00,22.4,20.4,3.0,10.0,0.6666666666666666,0,0,Not hot day,89.375,20.98125,1018.20625,0.0,2,1
2020-02-09,Parramatta,21.9,19.9,2.0,2020-02-09 18:00:00,2020-02-10 01:00:00,21.3,20.6,7.0,10.0,0.0999999999999999,0,0,Not hot day,91.5,34.99375,1012.11875,0.0,2,1
2020-02-10,Parramatta,28.6,20.6,8.0,2020-02-10 18:00:00,2020-02-11 04:00:00,25.7,21.6,10.0,10.0,0.4099999999999998,1,1,High risk,82.4375,12.4375,1008.34375,0.0,2,1
2020-02-11,Parramatta,29.4,20.6,8.799999999999997,2020-02-11 18:00:00,2020-02-12 04:00:00,27.6,23.0,10.0,10.0,0.46000000000000013,1,1,High risk,75.4375,10.00625,1008.1625,0.0,2,1
2020-02-12,Parramatta,26.8,22.7,4.100000000000001,2020-02-12 18:00:00,2020-02-13 01:00:00,24.2,21.6,7.0,10.0,0.3714285714285711,1,1,High risk,82.625,15.8125,1009.34375,0.0,2,1
2020-02-13,Parramatta,26.4,21.6,4.799999999999997,2020-02-13 18:00:00,2020-02-14 01:00:00,24.9,21.2,7.0,10.0,0.5285714285714285,1,1,High risk,86.5625,15.54375,1011.075,0.0,2,1
2020-02-14,Parramatta,27.3,20.1,7.199999999999999,2020-02-14 18:00:00,2020-02-15 04:00:00,24.7,17.6,10.0,10.0,0.7099999999999997,1,0,Moderate risk,72.9375,14.16875,1008.66875,0.0,2,1
