date,suburb,tmax,tmin,daily_temp_range,night_start_time,night_min_time,night_start_temp,night_min_temp,night_hours_to_min,night_total_hours,night_cooling_rate,hot_day,cooling_failure,cooling_risk_category,dewpoint_mean,humidity_mean,wind_speed_mean,air_pressure_mean,precipitation_total,distance_to_coast_km,distance_to_water_km,is_coastal,inland_category,tree_canopy_percent,tree_canopy_area_m2,suburb_area_inside_gsr_m2,cadastred_suburb_area_m2,sa2_name,population_2020,population_density_people_per_km2,area_km2,population_density_source_note,month,is_summer
2020-01-01,Bondi,21.51651,20.609161,0.907349,2020-01-01 18:00:00,2020-01-02 05:00:00,20.969269,19.958038,11.0,11.0,0.09193009090909111,0,0,Not hot day,17.15940030769231,78.71587961538461,5.513414469230769,1010.3648153846153,0.041961669,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-02,Bondi,22.018158,19.85202,2.166138,2020-01-02 18:00:00,2020-01-02 18:00:00,21.488434,21.488434,0.0,11.0,0.0,0,0,Not hot day,16.996217083333335,78.15489508333333,5.388210320833333,1013.4611254166666,0.34713744788,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-03,Bondi,23.984802,22.12149,1.863311999999997,2020-01-03 18:00:00,2020-01-04 05:00:00,23.200409,21.979584,11.0,11.0,0.11098409090909103,1,1,Extreme risk,20.494748458333333,86.53806841666666,4.69698761875,1010.0566958333334,1.5687942481000001,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-04,Bondi,30.218658,21.596832,8.621826000000002,2020-01-04 18:00:00,2020-01-05 05:00:00,27.87851,21.213287,11.0,11.0,0.6059293636363634,1,0,Moderate risk,19.780324208333333,71.99543966666666,5.898231758333334,1003.35297125,0.0,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-05,Bondi,22.753632,20.1622,2.591432000000001,2020-01-05 18:00:00,2020-01-06 02:00:00,20.246552,20.041412,8.0,11.0,0.025642500000000013,0,0,Not hot day,16.291451729166667,74.92136975,9.159446783333333,1012.9992575,0.18644332872,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-06,Bondi,21.541962,20.041412,1.5005500000000005,2020-01-06 18:00:00,2020-01-06 19:00:00,21.00534,20.915192,1.0,11.0,0.09014799999999923,0,0,Not hot day,16.739598583333333,78.30285883333333,4.174622945833334,1014.9114183333332,1.366138484,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-07,Bondi,23.210754,21.433044,1.7777100000000026,2020-01-07 18:00:00,2020-01-08 05:00:00,23.210754,21.331787,11.0,11.0,0.1708151818181821,0,0,Not hot day,20.629250833333334,90.30137254166668,3.7234138137499997,1009.1788841666666,1.67512897322,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-08,Bondi,22.185944,21.232239,0.9537049999999994,2020-01-08 18:00:00,2020-01-09 04:00:00,21.714478,20.91336,10.0,11.0,0.08011179999999989,0,0,Not hot day,19.598347999999998,88.28533816666668,6.695218995833334,1009.992475,5.271911533060001,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-09,Bondi,22.421783,20.91336,1.5084230000000005,2020-01-09 18:00:00,2020-01-10 04:00:00,22.034088,21.911407,10.0,11.0,0.012268100000000004,0,0,Not hot day,19.308209625,86.63013658333334,5.2120280375000005,1011.8634508333333,0.8521080021,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-10,Bondi,25.3013,21.911407,3.3898930000000007,2020-01-10 18:00:00,2020-01-11 05:00:00,24.539337,20.716461,11.0,11.0,0.3475341818181819,1,1,High risk,20.887439833333335,85.87600804166668,5.10145697125,1004.8001375,0.01096725466,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-11,Bondi,25.162384,19.751556,5.410827999999999,2020-01-11 18:00:00,2020-01-12 02:00:00,20.73935,19.416779,8.0,11.0,0.16532137500000044,1,1,Extreme risk,16.5843150625,76.036850375,7.999488679166666,1006.5467979166666,1.64651871076,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-12,Bondi,20.473053,19.416779,1.056274000000002,2020-01-12 18:00:00,2020-01-13 05:00:00,20.13034,19.559235,11.0,11.0,0.0519186363636363,0,0,Not hot day,15.068210583333332,73.65994470833333,5.749382037499999,1013.31697625,1.7657279821,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-13,Bondi,22.421478,19.559235,2.8622429999999994,2020-01-13 18:00:00,2020-01-14 05:00:00,22.303253,20.493439,11.0,11.0,0.16452854545454573,0,0,Not hot day,15.750750229166668,71.65092825,4.229079954166667,1013.8348875,1.11675262726,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-14,Bondi,22.779297,20.421478,2.357818999999999,2020-01-14 18:00:00,2020-01-15 05:00:00,22.419464,20.697968,11.0,11.0,0.15649963636363654,0,0,Not hot day,18.391428583333333,81.41568604166666,3.1580944691666666,1012.0445891666667,0.8201599079999999,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-15,Bondi,23.146515,20.468475,2.6780399999999993,2020-01-15 18:00:00,2020-01-16 05:00:00,22.69168,22.003998,11.0,11.0,0.06251654545454567,0,0,Not hot day,19.114392625,83.75783733333334,3.2564002529166665,1007.5801858333333,0.03385543822,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-16,Bondi,23.25241,21.55426,1.6981500000000018,2020-01-16 18:00:00,2020-01-17 05:00:00,22.799683,21.207092,11.0,11.0,0.14478100000000022,0,0,Not hot day,20.319918416666667,88.27583191666668,2.7879486141666665,1002.3762849999999,7.638454402,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-17,Bondi,21.932922,20.783295,1.1496270000000024,2020-01-17 18:00:00,2020-01-18 05:00:00,21.878662,20.872131,11.0,11.0,0.09150281818181809,0,0,Not hot day,19.404958125,88.14290254166667,7.1867381375,1003.9207666666666,11.413574178,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-18,Bondi,22.049896,20.862701,1.1871949999999991,2020-01-18 18:00:00,2020-01-19 05:00:00,21.786224,20.94162,11.0,11.0,0.07678218181818185,0,0,Not hot day,18.732006000000002,84.907215,7.540413958333333,1004.2355783333334,7.09342959,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-19,Bondi,22.733795,20.926422,1.807373000000002,2020-01-19 18:00:00,2020-01-20 05:00:00,22.245636,21.823212,11.0,11.0,0.03840218181818177,0,0,Not hot day,19.421649916666667,87.29677837499999,3.797645470833333,1002.26895375,11.51084897866,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-20,Bondi,24.09195,21.257477,2.834472999999999,2020-01-20 18:00:00,2020-01-21 05:00:00,23.792603,21.100006,11.0,11.0,0.2447815454545454,1,1,High risk,20.389536500000002,86.74345941666667,2.1598752241666666,997.8888391666666,12.85791414928,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-21,Bondi,25.477325,21.086914,4.390411,2020-01-21 18:00:00,2020-01-22 05:00:00,23.668945,22.268219,11.0,11.0,0.1273387272727275,1,1,Extreme risk,17.70832175,72.71664316666667,3.7315531985,1001.9206066666667,0.0,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-22,Bondi,25.450592,22.05191,3.398682000000001,2020-01-22 18:00:00,2020-01-23 05:00:00,24.956085,23.414703,11.0,11.0,0.14012563636363656,1,1,Extreme risk,20.80869291666667,83.30943012499999,3.785404692083333,1004.0363166666666,0.0,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-23,Bondi,31.207367,23.414703,7.792664000000002,2020-01-23 18:00:00,2020-01-24 05:00:00,29.863922,24.324493,11.0,11.0,0.5035844545454544,1,0,Moderate risk,19.076455541666665,60.65788020833333,6.137613629166666,997.0910479166668,0.1149177587,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-24,Bondi,28.649994,23.083252,5.566741999999998,2020-01-24 18:00:00,2020-01-25 05:00:00,24.15451,23.45047,11.0,11.0,0.06400363636363628,1,1,Extreme risk,20.021458916666667,76.75054904166667,5.014214479166667,1004.0411170833332,0.9932517947,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-25,Bondi,25.07846,23.131226,1.9472339999999981,2020-01-25 18:00:00,2020-01-26 05:00:00,24.640167,24.113373,11.0,11.0,0.047890363636363856,1,1,Extreme risk,21.452241333333333,84.68215170833334,4.071294858333333,1008.4850725,1.0328292838,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-26,Bondi,27.341644,24.035004,3.306639999999998,2020-01-26 18:00:00,2020-01-27 05:00:00,26.526642,23.176453,11.0,11.0,0.3045626363636364,1,1,High risk,23.274785249999997,87.39506462499999,3.2569616783333335,1006.0219220833333,2.62212749846,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-27,Bondi,25.169495,22.96756,2.2019350000000024,2020-01-27 18:00:00,2020-01-28 05:00:00,24.484161,23.870758,11.0,11.0,0.055763909090909246,1,1,Extreme risk,21.832183833333332,87.31512758333334,5.3593093125,1008.1384079166668,0.45156478812,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-28,Bondi,25.191132,23.717773,1.4733589999999985,2020-01-28 18:00:00,2020-01-29 05:00:00,24.228119,23.251068,11.0,11.0,0.08882281818181813,1,1,Extreme risk,22.457602166666664,89.09270591666666,3.6111891158333336,1007.0148545833334,0.86975098218,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-29,Bondi,24.078766,22.898346,1.1804200000000016,2020-01-29 18:00:00,2020-01-30 05:00:00,23.670685,21.859344,11.0,11.0,0.16466736363636353,1,1,Extreme risk,20.278675166666666,82.49632954166667,5.848029391666667,1011.0042404166667,0.4577636697,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-30,Bondi,24.558868,21.628693,2.930175000000002,2020-01-30 18:00:00,2020-01-31 04:00:00,24.227509,23.69632,10.0,11.0,0.05311890000000012,1,1,Extreme risk,19.758538625,80.83871833333333,3.4857000954166666,1011.1513120833333,0.01764297478,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-01-31,Bondi,26.29538,23.569275,2.7261050000000004,2020-01-31 18:00:00,2020-02-01 05:00:00,25.951508,24.23941,11.0,11.0,0.15564527272727283,1,1,Extreme risk,22.731291499999998,87.97789520833334,5.333433745833333,1008.5965150000001,0.0157356261,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",1,1
2020-02-01,Bondi,28.783234,24.025848,4.757386,2020-02-01 18:00:00,2020-02-01 23:00:00,27.410492,26.739807,5.0,11.0,0.13413700000000048,1,1,Extreme risk,22.746147166666663,80.81195570833333,6.575913533333334,1004.0730970833333,0.0,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",2,1
2020-02-02,Bondi,27.304138,23.269135,4.035003,2020-02-02 18:00:00,2020-02-03 05:00:00,23.585968,23.107391,11.0,11.0,0.04350700000000012,1,1,Extreme risk,22.004116041666666,84.6552175,5.866487958333334,1001.7173941666666,6.78491586896,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",2,1
2020-02-03,Bondi,26.17215,19.916443,6.2557069999999975,2020-02-03 18:00:00,2020-02-04 05:00:00,22.292511,19.13028,11.0,11.0,0.2874755454545456,1,1,High risk,20.271648333333335,83.72152370833334,4.9759812125,1002.3257291666667,6.2146186172,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",2,1
2020-02-04,Bondi,21.153717,19.13028,2.0234370000000013,2020-02-04 18:00:00,2020-02-05 05:00:00,20.987152,20.44638,11.0,11.0,0.04916109090909063,0,0,Not hot day,12.513757020833333,60.70578579166667,7.134722129166668,1014.79837125,0.8707046506,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",2,1
2020-02-05,Bondi,23.430084,20.383423,3.0466610000000003,2020-02-05 18:00:00,2020-02-06 05:00:00,23.196106,21.985626,11.0,11.0,0.1100436363636364,0,0,Not hot day,14.545389854166666,63.220595083333336,4.706373516666667,1015.17769,0.5517005917,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",2,1
2020-02-06,Bondi,23.172455,21.93863,1.2338249999999995,2020-02-06 18:00:00,2020-02-07 02:00:00,22.222626,21.11142,8.0,11.0,0.13890075000000035,0,0,Not hot day,17.928281208333335,75.92581366666667,5.4750126625,1016.392585,3.8714408959999997,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",2,1
2020-02-07,Bondi,22.249481,21.01883,1.2306509999999982,2020-02-07 18:00:00,2020-02-08 03:00:00,21.297821,21.21344,9.0,11.0,0.00937566666666672,0,0,Not hot day,18.928810125000002,85.11155545833334,7.844602708333333,1015.3751104166666,34.95931602,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",2,1
2020-02-08,Bondi,22.668,21.21344,1.4545600000000007,2020-02-08 18:00:00,2020-02-09 05:00:00,22.485046,22.032196,11.0,11.0,0.04116818181818196,0,0,Not hot day,19.267275541666667,83.969016125,8.9282476,1013.5214745833333,47.57356669,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",2,1
2020-02-09,Bondi,22.96048,21.342651,1.6178290000000004,2020-02-09 18:00:00,2020-02-10 04:00:00,22.681793,22.239288,10.0,11.0,0.04425050000000006,0,0,Not hot day,19.835245833333335,86.305099375,14.054092166666665,1007.8955066666667,122.9114528,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",2,1
2020-02-10,Bondi,24.083893,22.239288,1.8446050000000014,2020-02-10 18:00:00,2020-02-11 05:00:00,23.876495,22.734772,11.0,11.0,0.1037929999999999,1,1,Extreme risk,21.19489545833333,88.30370754166667,6.231863691666667,1003.76155625,21.57402027532,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",2,1
2020-02-11,Bondi,25.211823,22.606964,2.6048589999999976,2020-02-11 18:00:00,2020-02-12 05:00:00,24.64328,22.871277,11.0,11.0,0.16109118181818197,1,1,Extreme risk,21.328283833333334,86.12300954166666,4.7671314208333335,1003.4902233333333,3.1318663874,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",2,1
2020-02-12,Bondi,23.750488,22.562408,1.1880799999999994,2020-02-12 18:00:00,2020-02-13 04:00:00,22.91684,22.699738,10.0,11.0,0.021710200000000058,0,0,Not hot day,21.7640445,92.04453416666666,3.3269514375,1004.95721625,4.98437884,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",2,1
2020-02-13,Bondi,23.883759,22.699738,1.1840210000000013,2020-02-13 18:00:00,2020-02-14 04:00:00,23.385712,21.612335,10.0,11.0,0.1773377,1,1,Extreme risk,21.178772041666665,88.45057816666667,4.2163329625,1006.3680675,7.5650215192,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",2,1
2020-02-14,Bondi,22.988007,21.483398,1.5046089999999985,2020-02-14 18:00:00,2020-02-15 05:00:00,22.567719,20.579498,11.0,11.0,0.18074736363636357,0,0,Not hot day,18.47718675,79.11913916666667,5.0515321166666665,1003.6241008333333,1.05094910076,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",2,1
2020-02-15,Bondi,22.924713,19.944183,2.9805300000000017,2020-02-15 18:00:00,2020-02-16 05:00:00,22.924713,21.664032,11.0,11.0,0.1146073636363638,0,0,Not hot day,18.422728250000002,81.27581008333333,2.7879666875000004,1001.8237049999999,0.32567977918,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",2,1
2020-02-16,Bondi,22.758087,21.580414,1.1776729999999986,2020-02-16 18:00:00,2020-02-17 05:00:00,22.218231,21.638885,11.0,11.0,0.052667818181818274,0,0,Not hot day,19.075884541666667,82.74795308333333,4.2126589125,1008.7692941666666,1.3155937023,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",2,1
2020-02-17,Bondi,22.922333,21.638885,1.283448,2020-02-17 18:00:00,2020-02-18 05:00:00,22.72226,21.519073,11.0,11.0,0.10938063636363635,0,0,Not hot day,19.953763249999998,87.02683283333333,1.7814649095833335,1008.7534099999999,2.08568573306,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",2,1
2020-02-18,Bondi,25.481598,21.050476,4.431122000000002,2020-02-18 18:00:00,2020-02-19 05:00:00,24.554474,23.07608,11.0,11.0,0.13439945454545435,1,1,Extreme risk,21.311263999999998,88.53457370833333,4.025581187499999,1002.4015516666667,0.78821182598,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",2,1
2020-02-19,Bondi,25.039215,21.877045,3.1621699999999997,2020-02-19 18:00:00,2020-02-20 05:00:00,25.039215,18.370209,11.0,11.0,0.6062732727272727,1,0,Moderate risk,14.836199458333333,58.44055129166667,4.6419790375,998.6096012500001,0.0009536743,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",2,1
2020-02-20,Bondi,21.453278,18.370209,3.083069000000002,2020-02-20 18:00:00,2020-02-21 05:00:00,20.567352,20.48764,11.0,11.0,0.007246545454545516,0,0,Not hot day,14.678329354166666,71.29199620833333,5.274317575,1005.8148158333333,1.698017129,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",2,1
2020-02-21,Bondi,21.687958,20.05606,1.6318979999999996,2020-02-21 18:00:00,2020-02-22 05:00:00,21.687958,19.991547,11.0,11.0,0.15421918181818162,0,0,Not hot day,15.676715833333333,72.22509158333334,3.13106445,1011.57137625,1.9793510506,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",2,1
2020-02-22,Bondi,21.553223,19.92508,1.628142999999998,2020-02-22 18:00:00,2020-02-23 03:00:00,21.231781,20.915894,9.0,11.0,0.035098555555555556,0,0,Not hot day,17.040720625000002,79.26379729166666,4.0455946916666665,1017.9641495833333,5.386829417,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",2,1
2020-02-23,Bondi,22.994476,20.834717,2.1597589999999975,2020-02-23 18:00:00,2020-02-24 05:00:00,22.83612,21.619904,11.0,11.0,0.11056509090909117,0,0,Not hot day,17.064539625,73.658001,3.8135153583333334,1018.6027304166668,3.515720342,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",2,1
2020-02-24,Bondi,23.906189,21.05539,2.850799000000002,2020-02-24 18:00:00,2020-02-25 05:00:00,23.53125,22.175842,11.0,11.0,0.12321890909090914,1,1,Extreme risk,18.169753958333335,75.26200204166666,3.6562813333333337,1015.3166200000001,0.06771087798,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",2,1
2020-02-25,Bondi,24.537811,22.079376,2.4584350000000015,2020-02-25 18:00:00,2020-02-26 05:00:00,24.158905,22.848053,11.0,11.0,0.11916836363636368,1,1,Extreme risk,19.806188041666665,80.543172125,4.375502475,1010.1002841666667,0.0,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",2,1
2020-02-26,Bondi,27.68863,20.575134,7.113496000000001,2020-02-26 18:00:00,2020-02-27 05:00:00,26.456573,19.894379,11.0,11.0,0.5965630909090908,1,0,Moderate risk,19.54355754166667,74.85762825,5.5410872541666665,1001.77228625,0.3671646079,0.5,0.5,1,coastal,19.5728,170988,873744.5671999999,873599.0,Bondi Beach - North Bondi,23849,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy",2,1
