date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01 00:00:00,,19,27.5,0,,,,,,
2020-01-02 00:00:00,,18.6,28,0,,,,,,
2020-01-03 00:00:00,,20.2,33,0,,,,,,
2020-01-04 00:00:00,,19.2,47,0,,,,,,
2020-01-05 00:00:00,,21.2,26.8,0,,,,,,
2020-01-06 00:00:00,,16.5,23.8,0,,,,,,
2020-01-07 00:00:00,,19.5,32.7,4.2,,,,,,
2020-01-08 00:00:00,,21.2,29,0.4,,,,,,
2020-01-09 00:00:00,,20.2,26,0,,,,,,
2020-01-10 00:00:00,,20.4,35,0,,,,,,
2020-01-11 00:00:00,,18,23.3,0.4,,,,,,
2020-01-12 00:00:00,,18.2,21.8,0.2,,,,,,
2020-01-13 00:00:00,,14.5,26.7,1.2,,,,,,
2020-01-14 00:00:00,,15.2,28.4,0,,,,,,
2020-01-15 00:00:00,,15.5,30.5,0,,,,,,
2020-01-16 00:00:00,,15.5,30.2,3.4,,,,,,
2020-01-17 00:00:00,,17.8,22,24,,,,,,
2020-01-18 00:00:00,,17.6,23.3,14,,,,,,
2020-01-19 00:00:00,,17.8,25.2,5.6,,,,,,
2020-01-20 00:00:00,,18.2,32,0.4,,,,,,
2020-01-21 00:00:00,,18.8,33,0.2,,,,,,
2020-01-22 00:00:00,,17.2,33.8,0,,,,,,
2020-01-23 00:00:00,,17.2,41.2,0,,,,,,
2020-01-24 00:00:00,,20.6,29,2.2,,,,,,
2020-01-25 00:00:00,,21.4,30.6,5.2,,,,,,
2020-01-26 00:00:00,,22.6,37.3,0,,,,,,
2020-01-27 00:00:00,,23,30.2,5.6,,,,,,
2020-01-28 00:00:00,,21.4,33.1,0,,,,,,
2020-01-29 00:00:00,,22.2,28.7,0,,,,,,
2020-01-30 00:00:00,,16.8,31.5,0,,,,,,
2020-01-31 00:00:00,,20.2,36,0,,,,,,
2020-02-01 00:00:00,,22,44.5,0,,,,,,
2020-02-02 00:00:00,,25,32,0,,,,,,
2020-02-03 00:00:00,,22,33.8,16,,,,,,
2020-02-04 00:00:00,,16.5,22.9,1.2,,,,,,
2020-02-05 00:00:00,,14.4,26,0,,,,,,
2020-02-06 00:00:00,,19,23,1.6,,,,,,
2020-02-07 00:00:00,,17.5,21.5,48,,,,,,
2020-02-08 00:00:00,,18,23.5,51,,,,,,
2020-02-09 00:00:00,,18.5,22.5,102,,,,,,
2020-02-10 00:00:00,,17.5,29.5,158,,,,,,
2020-02-11 00:00:00,,18.5,30.7,0,,,,,,
2020-02-12 00:00:00,,21.2,26.6,0,,,,,,
2020-02-13 00:00:00,,21,26.2,13.4,,,,,,
2020-02-14 00:00:00,,19,27.6,10.2,,,,,,
2020-02-15 00:00:00,,17,28,0,,,,,,
2020-02-16 00:00:00,,17.8,26.5,15,,,,,,
2020-02-17 00:00:00,,19.6,24.5,0.2,,,,,,
2020-02-18 00:00:00,,18.5,33.5,0.8,,,,,,
2020-02-19 00:00:00,,18.4,28.5,11.4,,,,,,
2020-02-20 00:00:00,,14.8,24.5,0,,,,,,
2020-02-21 00:00:00,,18.9,24.5,0,,,,,,
2020-02-22 00:00:00,,18,22.8,0,,,,,,
2020-02-23 00:00:00,,18.2,24.5,0.2,,,,,,
2020-02-24 00:00:00,,16.6,27.9,0,,,,,,
2020-02-25 00:00:00,,18,30.8,0,,,,,,
2020-02-26 00:00:00,,20.4,32,0,,,,,,
2020-02-27 00:00:00,,18.5,25.4,0.6,,,,,,
2020-02-28 00:00:00,,13.7,25.7,0,,,,,,
2020-02-29 00:00:00,,18.3,27.2,0,,,,,,
2020-03-01 00:00:00,,16.2,31,0,,,,,,
2020-03-02 00:00:00,,16.5,37.7,0,,,,,,
2020-03-03 00:00:00,,19.4,21.3,0,,,,,,
2020-03-04 00:00:00,,17.9,25,19.8,,,,,,
2020-03-05 00:00:00,,19.6,24.5,6.4,,,,,,
2020-03-06 00:00:00,,20.6,28.3,20.4,,,,,,
2020-03-07 00:00:00,,18.5,24.4,0,,,,,,
2020-03-08 00:00:00,,15.8,22,10.4,,,,,,
2020-03-09 00:00:00,,16.3,23,4,,,,,,
2020-03-10 00:00:00,,13.8,23.5,2.6,,,,,,
2020-03-11 00:00:00,,13,24.8,0,,,,,,
2020-03-12 00:00:00,,14,25,0.4,,,,,,
2020-03-13 00:00:00,,12,27,0,,,,,,
2020-03-14 00:00:00,,14,16.5,1.4,,,,,,
2020-03-15 00:00:00,,10.4,20.5,12,,,,,,
2020-03-16 00:00:00,,14,22.4,5.8,,,,,,
2020-03-17 00:00:00,,14,22.7,2.6,,,,,,
2020-03-18 00:00:00,,11.2,27.5,0,,,,,,
2020-03-19 00:00:00,,14,32.7,0,,,,,,
2020-03-20 00:00:00,,17,34.8,0,,,,,,
2020-03-21 00:00:00,,15.2,25.2,0,,,,,,
2020-03-22 00:00:00,,16.2,29.8,0,,,,,,
2020-03-23 00:00:00,,17.3,22.5,0,,,,,,
2020-03-24 00:00:00,,13.5,22,2,,,,,,
2020-03-25 00:00:00,,15,25.8,0,,,,,,
2020-03-26 00:00:00,,15.7,21.3,12,,,,,,
2020-03-27 00:00:00,,13.8,22.2,5,,,,,,
2020-03-28 00:00:00,,12.3,23.8,0,,,,,,
2020-03-29 00:00:00,,16.2,25.2,3.2,,,,,,
2020-03-30 00:00:00,,17.2,25.2,2.2,,,,,,
2020-03-31 00:00:00,,14.8,26.8,0,,,,,,
2020-04-01 00:00:00,,16.7,24,0.2,,,,,,
2020-04-02 00:00:00,,16,24.3,13,,,,,,
2020-04-03 00:00:00,,15.5,26,5,,,,,,
2020-04-04 00:00:00,,19,25.7,7.4,,,,,,
2020-04-05 00:00:00,,12.8,24.2,0,,,,,,
2020-04-06 00:00:00,,13,24,0,,,,,,
2020-04-07 00:00:00,,14.8,20.8,0,,,,,,
2020-04-08 00:00:00,,12.8,18.8,0,,,,,,
2020-04-09 00:00:00,,14.5,22.2,0.4,,,,,,
2020-04-10 00:00:00,,15.5,22.5,1,,,,,,
2020-04-11 00:00:00,,13.2,24.8,4,,,,,,
2020-04-12 00:00:00,,7.5,21.8,0,,,,,,
2020-04-13 00:00:00,,7.8,23,0,,,,,,
2020-04-14 00:00:00,,10.3,27.2,0,,,,,,
2020-04-15 00:00:00,,12,30,0,,,,,,
2020-04-16 00:00:00,,15.5,26,0,,,,,,
2020-04-17 00:00:00,,14.8,27,0,,,,,,
2020-04-18 00:00:00,,11,24,0,,,,,,
2020-04-19 00:00:00,,9,22.2,0,,,,,,
2020-04-20 00:00:00,,11.2,20,0,,,,,,
2020-04-21 00:00:00,,10.5,25.6,0,,,,,,
2020-04-22 00:00:00,,12.3,25.5,0,,,,,,
2020-04-23 00:00:00,,9.8,24.8,0,,,,,,
2020-04-24 00:00:00,,13.7,28,0,,,,,,
2020-04-25 00:00:00,,11.2,27.2,0,,,,,,
2020-04-26 00:00:00,,11.5,27.3,0,,,,,,
2020-04-27 00:00:00,,11.6,21.2,0,,,,,,
2020-04-28 00:00:00,,14.3,22.3,0.4,,,,,,
2020-04-29 00:00:00,,14.8,25.2,0.2,,,,,,
2020-04-30 00:00:00,,14.8,18.5,0.2,,,,,,
2020-05-01 00:00:00,,9.8,16.3,15.6,,,,,,
2020-05-02 00:00:00,,11.2,18,0,,,,,,
2020-05-03 00:00:00,,6.7,20,0,,,,,,
2020-05-04 00:00:00,,6,19.6,0,,,,,,
2020-05-05 00:00:00,,10,20.7,0.6,,,,,,
2020-05-06 00:00:00,,7,22.7,0,,,,,,
2020-05-07 00:00:00,,7.8,23.7,0,,,,,,
2020-05-08 00:00:00,,12.8,27,0,,,,,,
2020-05-09 00:00:00,,15.2,25.3,0,,,,,,
2020-05-10 00:00:00,,7,17.7,0,,,,,,
2020-05-11 00:00:00,,3,19.2,0,,,,,,
2020-05-12 00:00:00,,4.8,20,0,,,,,,
2020-05-13 00:00:00,,7.2,18.8,0,,,,,,
2020-05-14 00:00:00,,7.3,18.4,0,,,,,,
2020-05-15 00:00:00,,6.2,17,0.2,,,,,,
2020-05-16 00:00:00,,9.1,18.8,3,,,,,,
2020-05-17 00:00:00,,7.2,20.8,0,,,,,,
2020-05-18 00:00:00,,8,18.6,0.6,,,,,,
2020-05-19 00:00:00,,10.2,21.8,1,,,,,,
2020-05-20 00:00:00,,10,23.7,0,,,,,,
2020-05-21 00:00:00,,13.2,18.8,0,,,,,,
2020-05-22 00:00:00,,7.8,16.8,39.4,,,,,,
2020-05-23 00:00:00,,10.2,18.2,3,,,,,,
2020-05-24 00:00:00,,12.3,17.9,0.8,,,,,,
2020-05-25 00:00:00,,12,16.7,0,,,,,,
2020-05-26 00:00:00,,12.2,19.4,12,,,,,,
2020-05-27 00:00:00,,10,20,0.6,,,,,,
2020-05-28 00:00:00,,8.6,22,0,,,,,,
2020-05-29 00:00:00,,9.2,17,0,,,,,,
2020-05-30 00:00:00,,9,20,1.8,,,,,,
2020-05-31 00:00:00,,10,21.3,0,,,,,,
2020-06-01 00:00:00,,9.7,22.3,0,,,,,,
2020-06-02 00:00:00,,5,16.6,1.2,,,,,,
2020-06-03 00:00:00,,5.2,19,0,,,,,,
2020-06-04 00:00:00,,9.1,16.5,0,,,,,,
2020-06-05 00:00:00,,3.2,19.8,0,,,,,,
2020-06-06 00:00:00,,4.6,19.3,0,,,,,,
2020-06-07 00:00:00,,6.2,17.8,0,,,,,,
2020-06-08 00:00:00,,7,18,10,,,,,,
2020-06-09 00:00:00,,8.2,19,1,,,,,,
2020-06-10 00:00:00,,9.8,16.2,3,,,,,,
2020-06-11 00:00:00,,12.2,21.6,1.4,,,,,,
2020-06-12 00:00:00,,9.8,15.2,0,,,,,,
2020-06-13 00:00:00,,8.8,20,3,,,,,,
2020-06-14 00:00:00,,11.8,20.7,7.2,,,,,,
2020-06-15 00:00:00,,6.3,20,0,,,,,,
2020-06-16 00:00:00,,9.4,20.8,0,,,,,,
2020-06-17 00:00:00,,7.4,16.2,0,,,,,,
2020-06-18 00:00:00,,9.4,19,1.8,,,,,,
2020-06-19 00:00:00,,5,19.8,0,,,,,,
2020-06-20 00:00:00,,6.2,20,0,,,,,,
2020-06-21 00:00:00,,8.2,19.2,6,,,,,,
2020-06-22 00:00:00,,6.8,16.5,0,,,,,,
2020-06-23 00:00:00,,6.3,15.7,0,,,,,,
2020-06-24 00:00:00,,5.2,18.2,0,,,,,,
2020-06-25 00:00:00,,6,18.3,0,,,,,,
2020-06-26 00:00:00,,6.4,19.5,0,,,,,,
2020-06-27 00:00:00,,8,16.6,0,,,,,,
2020-06-28 00:00:00,,6.8,15.6,1,,,,,,
2020-06-29 00:00:00,,6.5,17.1,0,,,,,,
2020-06-30 00:00:00,,5.3,18.3,0.2,,,,,,
2020-07-01 00:00:00,,4.5,21.3,0,,,,,,
2020-07-02 00:00:00,,7.8,22.8,0,,,,,,
2020-07-03 00:00:00,,6.8,18,0,,,,,,
2020-07-04 00:00:00,,6.3,16.3,0.6,,,,,,
2020-07-05 00:00:00,,6.3,18.3,0,,,,,,
2020-07-06 00:00:00,,5.3,18.3,0,,,,,,
2020-07-07 00:00:00,,7.5,16.5,0,,,,,,
2020-07-08 00:00:00,,8.5,15.5,3,,,,,,
2020-07-09 00:00:00,,4.5,18.2,0,,,,,,
2020-07-10 00:00:00,,7.5,16.8,0,,,,,,
2020-07-11 00:00:00,,10.2,18.5,3.2,,,,,,
2020-07-12 00:00:00,,8.5,17.5,1.2,,,,,,
2020-07-13 00:00:00,,5.6,17.6,6,,,,,,
2020-07-14 00:00:00,,9.2,16.2,11,,,,,,
2020-07-15 00:00:00,,10.8,15.6,1.6,,,,,,
2020-07-16 00:00:00,,8.8,16.6,0,,,,,,
2020-07-17 00:00:00,,10.2,16.2,0,,,,,,
2020-07-18 00:00:00,,8.2,17.2,0,,,,,,
2020-07-19 00:00:00,,4.6,19.2,0,,,,,,
2020-07-20 00:00:00,,6.8,18,0,,,,,,
2020-07-21 00:00:00,,3.6,17.2,0,,,,,,
2020-07-22 00:00:00,,3.6,18.2,0,,,,,,
2020-07-23 00:00:00,,4.2,19.4,0,,,,,,
2020-07-24 00:00:00,,5,18.8,0,,,,,,
2020-07-25 00:00:00,,5.8,18.2,0,,,,,,
2020-07-26 00:00:00,,9,15.5,5.6,,,,,,
2020-07-27 00:00:00,,11.8,16.3,97,,,,,,
2020-07-28 00:00:00,,12,18.3,18,,,,,,
2020-07-29 00:00:00,,7.6,20,0,,,,,,
2020-07-30 00:00:00,,4.6,18.4,0,,,,,,
2020-07-31 00:00:00,,6,17.7,0,,,,,,
2020-08-01 00:00:00,,4,20,0,,,,,,
2020-08-02 00:00:00,,5.4,21,0,,,,,,
2020-08-03 00:00:00,,4.6,21.8,0,,,,,,
2020-08-04 00:00:00,,8.2,21.5,0,,,,,,
2020-08-05 00:00:00,,3.8,17.8,0,,,,,,
2020-08-06 00:00:00,,3.2,16.2,0,,,,,,
2020-08-07 00:00:00,,6.2,14.8,0,,,,,,
2020-08-08 00:00:00,,10,16.1,19,,,,,,
2020-08-09 00:00:00,,5.8,15.7,6.4,,,,,,
2020-08-10 00:00:00,,7.6,16.3,30,,,,,,
2020-08-11 00:00:00,,9.3,17.4,3.4,,,,,,
2020-08-12 00:00:00,,7.8,18,0,,,,,,
2020-08-13 00:00:00,,7.8,22.4,0,,,,,,
2020-08-14 00:00:00,,8,17.5,0,,,,,,
2020-08-15 00:00:00,,11,19.2,6,,,,,,
2020-08-16 00:00:00,,10.8,20,1.4,,,,,,
2020-08-17 00:00:00,,7.5,20,0,,,,,,
2020-08-18 00:00:00,,9.1,20.5,0,,,,,,
2020-08-19 00:00:00,,7.7,21.4,0,,,,,,
2020-08-20 00:00:00,,9,18,0,,,,,,
2020-08-21 00:00:00,,8.7,18.5,0,,,,,,
2020-08-22 00:00:00,,7.5,15,0,,,,,,
2020-08-23 00:00:00,,7.2,16.7,0,,,,,,
2020-08-24 00:00:00,,3.8,18.3,0,,,,,,
2020-08-25 00:00:00,,1.7,16.5,0,,,,,,
2020-08-26 00:00:00,,3.7,19.2,0,,,,,,
2020-08-27 00:00:00,,3.2,21.6,0,,,,,,
2020-08-28 00:00:00,,8.3,19.2,0,,,,,,
2020-08-29 00:00:00,,4,22.8,0,,,,,,
2020-08-30 00:00:00,,5.3,25.5,0,,,,,,
2020-08-31 00:00:00,,13.5,23,0,,,,,,
2020-09-01 00:00:00,,10,19,0,,,,,,
2020-09-02 00:00:00,,5.5,24.2,0,,,,,,
2020-09-03 00:00:00,,14.8,29.8,0,,,,,,
2020-09-04 00:00:00,,15.5,21,0,,,,,,
2020-09-05 00:00:00,,11,22.5,7,,,,,,
2020-09-06 00:00:00,,7.2,19.3,0,,,,,,
2020-09-07 00:00:00,,7.2,22.5,0,,,,,,
2020-09-08 00:00:00,,7.8,25.6,0,,,,,,
2020-09-09 00:00:00,,13.2,16.5,1.6,,,,,,
