feature,importance
tmax,0.323400033218265
dewpoint_mean,0.17226632924194202
tmin,0.16599497552035855
daily_temp_range,0.06903952854026436
month,0.06601978667173006
is_summer,0.05958895539909659
air_pressure_mean,0.05250644248802677
humidity_mean,0.03319856286673936
precipitation_total,0.03149837552325718
wind_speed_mean,0.014604362390185607
built_up_area_percent,0.0034231600147070695
distance_to_water_km,0.002961375452604664
distance_to_coast_km,0.0026776617652323285
tree_canopy_percent,0.0013302397196204654
population_density_people_per_km2,0.0008541187896923434
is_coastal,0.0006360923982776137
