suburb,sa2_names_used_for_built_up,sa2_area_m2,built_up_area_m2,built_up_area_percent,built_up_density_source_note
Bondi,Bondi Beach - North Bondi,3579527.281047966,3269491.8263506233,91.33864808521379,"Digital Atlas Built Up Areas / Bing Building Footprints October 2020; intersected with ABS SA2 2021 GDA2020 point-selected proxy boundaries. This represents clustered built-up development area, not literal building footprint coverage."
Manly,Manly - Fairlight,9779726.335872972,4617047.619511056,47.210396906253735,"Digital Atlas Built Up Areas / Bing Building Footprints October 2020; intersected with ABS SA2 2021 GDA2020 point-selected proxy boundaries. This represents clustered built-up development area, not literal building footprint coverage."
Coogee,Coogee - Clovelly,3937217.0262266216,3608268.046460282,91.64513976305746,"Digital Atlas Built Up Areas / Bing Building Footprints October 2020; intersected with ABS SA2 2021 GDA2020 point-selected proxy boundaries. This represents clustered built-up development area, not literal building footprint coverage."
Cronulla,Cronulla - Kurnell - Bundeena,36617609.521860614,9405543.966165856,25.68584921020246,"Digital Atlas Built Up Areas / Bing Building Footprints October 2020; intersected with ABS SA2 2021 GDA2020 point-selected proxy boundaries. This represents clustered built-up development area, not literal building footprint coverage."
Parramatta,Parramatta - North,3244989.9399160314,3202180.5897551463,98.68075553534712,"Digital Atlas Built Up Areas / Bing Building Footprints October 2020; intersected with ABS SA2 2021 GDA2020 point-selected proxy boundaries. This represents clustered built-up development area, not literal building footprint coverage."
Ryde,Ryde - North,8291049.887535099,8291049.887535101,100.00000000000003,"Digital Atlas Built Up Areas / Bing Building Footprints October 2020; intersected with ABS SA2 2021 GDA2020 point-selected proxy boundaries. This represents clustered built-up development area, not literal building footprint coverage."
Bankstown,Bankstown - North,3989418.671195688,3989418.6711956887,100.00000000000003,"Digital Atlas Built Up Areas / Bing Building Footprints October 2020; intersected with ABS SA2 2021 GDA2020 point-selected proxy boundaries. This represents clustered built-up development area, not literal building footprint coverage."
Fairfield,Fairfield,6152655.392629097,5784909.046041692,94.02296531952746,"Digital Atlas Built Up Areas / Bing Building Footprints October 2020; intersected with ABS SA2 2021 GDA2020 point-selected proxy boundaries. This represents clustered built-up development area, not literal building footprint coverage."
Penrith,Penrith,15072507.890784794,11851668.619625883,78.63103277505593,"Digital Atlas Built Up Areas / Bing Building Footprints October 2020; intersected with ABS SA2 2021 GDA2020 point-selected proxy boundaries. This represents clustered built-up development area, not literal building footprint coverage."
Blacktown,Blacktown (East) - Kings Park,11567213.081537765,11567213.081537763,99.99999999999999,"Digital Atlas Built Up Areas / Bing Building Footprints October 2020; intersected with ABS SA2 2021 GDA2020 point-selected proxy boundaries. This represents clustered built-up development area, not literal building footprint coverage."
Liverpool,Liverpool - East,3290931.2087171273,3227130.076779034,98.06130460068279,"Digital Atlas Built Up Areas / Bing Building Footprints October 2020; intersected with ABS SA2 2021 GDA2020 point-selected proxy boundaries. This represents clustered built-up development area, not literal building footprint coverage."
Campbelltown,Campbelltown - Woodbine,20083305.77855184,14681130.968082909,73.1011673574266,"Digital Atlas Built Up Areas / Bing Building Footprints October 2020; intersected with ABS SA2 2021 GDA2020 point-selected proxy boundaries. This represents clustered built-up development area, not literal building footprint coverage."
