suburb,sa2_name,population_2020,population_density_people_per_km2,area_km2,population_density_source_note
Bondi,Bondi Beach - North Bondi,23849.0,9692.7,2.5,"ABS Regional Population 2019-20, SA2 proxy"
Manly,Manly - Fairlight,24528.0,3641.8,6.7,"ABS Regional Population 2019-20, SA2 proxy"
Coogee,Coogee - Clovelly,28589.0,7453.6,3.8,"ABS Regional Population 2019-20, SA2 proxy"
Cronulla,Cronulla - Kurnell - Bundeena,25760.0,1026.8,25.1,"ABS Regional Population 2019-20, SA2 proxy"
Parramatta,Parramatta - Rosehill,34732.0,4087.8,8.5,"ABS Regional Population 2019-20, SA2 proxy"
Ryde,Ryde,32863.0,4521.5,7.3,"ABS Regional Population 2019-20, SA2 proxy"
Bankstown,Banksmeadow,226.0,67.1,3.4,"ABS Regional Population 2019-20, SA2 proxy"
Fairfield,Fairfield,19151.0,4527.0,4.2,"ABS Regional Population 2019-20, SA2 proxy"
Penrith,Penrith,15554.0,1496.4,10.4,"ABS Regional Population 2019-20, SA2 proxy"
Blacktown,Blacktown (West),16903.0,3615.4,4.7,"ABS Regional Population 2019-20, SA2 proxy"
Liverpool,Liverpool,32473.0,5139.4,6.3,"ABS Regional Population 2019-20, SA2 proxy"
Campbelltown,Campbelltown - Woodbine,21690.0,1577.7,13.7,"ABS Regional Population 2019-20, SA2 proxy"
