suburb,tree_canopy_percent,tree_canopy_area_m2,suburb_area_inside_gsr_m2,cadastred_suburb_area_m2
Bondi,19.5728,170988,873744.5671999999,873599.0
Manly,26.2541,1420460,5491687.8389,5410440.0
Coogee,18.7764,358548,1960896.2887000002,1909570.0
Cronulla,18.6816,719184,5425428.8604,3849690.0
Parramatta,17.0356,933920,5481959.1784,5482170.0
Ryde,23.3227,1653090,7088397.9077,7087900.0
Bankstown,12.4235,803440,6466985.5429,6467090.0
Fairfield,13.6634,608368,4452177.6983,4452550.0
Penrith,11.4378,1426850,12470886.465599999,12474900.0
Blacktown,9.17505,1458540,15894785.6757,15896800.0
Liverpool,8.27098,528504,6389126.947,6389860.0
Campbelltown,10.7411,1197240,11143979.7879,11146300.0
