date,suburb,tmax,tmin,daily_temp_range,night_start_time,night_min_time,night_start_temp,night_min_temp,night_hours_to_min,night_total_hours,night_cooling_rate,hot_day,cooling_failure,cooling_risk_category,dewpoint_mean,humidity_mean,wind_speed_mean,air_pressure_mean,precipitation_total,distance_to_coast_km,distance_to_water_km,is_coastal,inland_category,tree_canopy_percent,tree_canopy_area_m2,suburb_area_inside_gsr_m2,cadastred_suburb_area_m2,sa2_name,population_2020,population_density_people_per_km2,area_km2,population_density_source_note,built_up_area_m2,sa2_area_m2,built_up_area_percent,built_up_density_source_note,sa2_names_used_for_built_up,month,is_summer
2020-01-01,Bankstown,24.647919,20.734314,3.9136050000000004,2020-01-01 18:00:00,2020-01-02 05:00:00,22.05716,19.34085,11.0,11.0,0.24693727272727273,0,0,Moderate risk,16.03094476923077,66.0928056153846,4.0962049230769235,1007.0986676923077,0.005722046,18.0,5.0,0,middle_inland,12.4235,803440,6466985.5429,6467090.0,Bankstown - North,17736.0,6471.6,2.7,"ABS Regional Population 2019-20, SA2 proxy; corrected to Bankstown - North",3989418.6711956887,3989418.671195688,100.00000000000004,"Digital Atlas Built Up Areas / Bing Building Footprints October 2020; intersected with ABS SA2 2021 GDA2020 point-selected proxy boundaries. This represents clustered built-up development area, not literal building footprint coverage.",Bankstown - North,1,1
2020-01-02,Bankstown,25.164276,19.293427,5.870849,2020-01-02 18:00:00,2020-01-03 05:00:00,23.222809,22.09903,11.0,11.0,0.1021617272727275,0,1,Extreme risk,15.972291270833333,70.14066237499999,3.6535657208333334,1010.3253045833334,0.04863739046,18.0,5.0,0,middle_inland,12.4235,803440,6466985.5429,6467090.0,Bankstown - North,17736.0,6471.6,2.7,"ABS Regional Population 2019-20, SA2 proxy; corrected to Bankstown - North",3989418.6711956887,3989418.671195688,100.00000000000004,"Digital Atlas Built Up Areas / Bing Building Footprints October 2020; intersected with ABS SA2 2021 GDA2020 point-selected proxy boundaries. This represents clustered built-up development area, not literal building footprint coverage.",Bankstown - North,1,1
2020-01-03,Bankstown,29.523865,21.960663,7.563202,2020-01-03 18:00:00,2020-01-04 05:00:00,27.00705,20.999115,11.0,11.0,0.5461759090909091,0,0,Low risk,19.334999083333333,72.20186879166667,3.2956028933333332,1006.8450212500001,0.9756088124,18.0,5.0,0,middle_inland,12.4235,803440,6466985.5429,6467090.0,Bankstown - North,17736.0,6471.6,2.7,"ABS Regional Population 2019-20, SA2 proxy; corrected to Bankstown - North",3989418.6711956887,3989418.671195688,100.00000000000004,"Digital Atlas Built Up Areas / Bing Building Footprints October 2020; intersected with ABS SA2 2021 GDA2020 point-selected proxy boundaries. This represents clustered built-up development area, not literal building footprint coverage.",Bankstown - North,1,1
2020-01-04,Bankstown,42.062378,20.79007,21.272308000000002,2020-01-04 18:00:00,2020-01-05 05:00:00,39.03476,21.46524,11.0,11.0,1.5972290909090907,1,0,Low risk,17.165334083333335,53.77755895833334,3.137932108333333,1000.1175604166666,0.0,18.0,5.0,0,middle_inland,12.4235,803440,6466985.5429,6467090.0,Bankstown - North,17736.0,6471.6,2.7,"ABS Regional Population 2019-20, SA2 proxy; corrected to Bankstown - North",3989418.6711956887,3989418.671195688,100.00000000000004,"Digital Atlas Built Up Areas / Bing Building Footprints October 2020; intersected with ABS SA2 2021 GDA2020 point-selected proxy boundaries. This represents clustered built-up development area, not literal building footprint coverage.",Bankstown - North,1,1
2020-01-05,Bankstown,23.623932,19.809052,3.8148799999999987,2020-01-05 18:00:00,2020-01-06 05:00:00,20.428192,18.816925,11.0,11.0,0.146478818181818,0,1,High risk,14.1697069375,62.67751175,6.4700120000000005,1010.0159204166666,0.23460388100000001,18.0,5.0,0,middle_inland,12.4235,803440,6466985.5429,6467090.0,Bankstown - North,17736.0,6471.6,2.7,"ABS Regional Population 2019-20, SA2 proxy; corrected to Bankstown - North",3989418.6711956887,3989418.671195688,100.00000000000004,"Digital Atlas Built Up Areas / Bing Building Footprints October 2020; intersected with ABS SA2 2021 GDA2020 point-selected proxy boundaries. This represents clustered built-up development area, not literal building footprint coverage.",Bankstown - North,1,1
2020-01-06,Bankstown,22.886261,18.816925,4.069336,2020-01-06 18:00:00,2020-01-07 05:00:00,21.868622,20.901733,11.0,11.0,0.08789899999999985,0,1,Extreme risk,16.038914916666666,74.37355908333333,2.9427740208333333,1011.7876604166667,0.7767677345,18.0,5.0,0,middle_inland,12.4235,803440,6466985.5429,6467090.0,Bankstown - North,17736.0,6471.6,2.7,"ABS Regional Population 2019-20, SA2 proxy; corrected to Bankstown - North",3989418.6711956887,3989418.671195688,100.00000000000004,"Digital Atlas Built Up Areas / Bing Building Footprints October 2020; intersected with ABS SA2 2021 GDA2020 point-selected proxy boundaries. This represents clustered built-up development area, not literal building footprint coverage.",Bankstown - North,1,1
2020-01-07,Bankstown,28.642822,20.852966,7.789856,2020-01-07 18:00:00,2020-01-08 05:00:00,27.361145,21.542725,11.0,11.0,0.5289472727272727,0,0,Low risk,20.068215791666667,78.671412125,2.8637356625,1005.9584704166667,1.80864334786,18.0,5.0,0,middle_inland,12.4235,803440,6466985.5429,6467090.0,Bankstown - North,17736.0,6471.6,2.7,"ABS Regional Population 2019-20, SA2 proxy; corrected to Bankstown - North",3989418.6711956887,3989418.671195688,100.00000000000004,"Digital Atlas Built Up Areas / Bing Building Footprints October 2020; intersected with ABS SA2 2021 GDA2020 point-selected proxy boundaries. This represents clustered built-up development area, not literal building footprint coverage.",Bankstown - North,1,1
2020-01-08,Bankstown,24.621826,21.493958,3.1278679999999994,2020-01-08 18:00:00,2020-01-09 04:00:00,22.737915,21.048126,10.0,11.0,0.1689789000000001,0,1,High risk,18.928670208333333,79.44580833333333,4.660880891666666,1006.9774854166667,0.46682358062,18.0,5.0,0,middle_inland,12.4235,803440,6466985.5429,6467090.0,Bankstown - North,17736.0,6471.6,2.7,"ABS Regional Population 2019-20, SA2 proxy; corrected to Bankstown - North",3989418.6711956887,3989418.671195688,100.00000000000004,"Digital Atlas Built Up Areas / Bing Building Footprints October 2020; intersected with ABS SA2 2021 GDA2020 point-selected proxy boundaries. This represents clustered built-up development area, not literal building footprint coverage.",Bankstown - North,1,1
2020-01-09,Bankstown,24.728607,21.048126,3.6804810000000003,2020-01-09 18:00:00,2020-01-10 03:00:00,23.7294,21.463287,9.0,11.0,0.251790333333333,0,0,Moderate risk,18.337994916666666,77.62847095833332,3.6261464500000002,1008.85845375,0.50973892186,18.0,5.0,0,middle_inland,12.4235,803440,6466985.5429,6467090.0,Bankstown - North,17736.0,6471.6,2.7,"ABS Regional Population 2019-20, SA2 proxy; corrected to Bankstown - North",3989418.6711956887,3989418.671195688,100.00000000000004,"Digital Atlas Built Up Areas / Bing Building Footprints October 2020; intersected with ABS SA2 2021 GDA2020 point-selected proxy boundaries. This represents clustered built-up development area, not literal building footprint coverage.",Bankstown - North,1,1
2020-01-10,Bankstown,31.160278,21.463287,9.696991,2020-01-10 18:00:00,2020-01-11 05:00:00,28.773712,20.01529,11.0,11.0,0.7962201818181818,1,0,Low risk,20.200427916666666,73.449797625,3.4876027541666663,1001.4872158333333,0.010490417299999999,18.0,5.0,0,middle_inland,12.4235,803440,6466985.5429,6467090.0,Bankstown - North,17736.0,6471.6,2.7,"ABS Regional Population 2019-20, SA2 proxy; corrected to Bankstown - North",3989418.6711956887,3989418.671195688,100.00000000000004,"Digital Atlas Built Up Areas / Bing Building Footprints October 2020; intersected with ABS SA2 2021 GDA2020 point-selected proxy boundaries. This represents clustered built-up development area, not literal building footprint coverage.",Bankstown - North,1,1
