feature,importance
daily_temp_range,0.3852589746206121
distance_to_water_km,0.11174388961587323
precipitation_total,0.09604593653160456
distance_to_coast_km,0.09211176973985273
is_coastal,0.06931202603584408
wind_speed_mean,0.051368719849048124
humidity_mean,0.04899417121550836
tmax,0.0369399904373613
tree_canopy_percent,0.030707693107848398
tmin,0.018065606424775164
dewpoint_mean,0.014889679174174865
population_density_people_per_km2,0.014444738209630732
air_pressure_mean,0.01184275048253673
built_up_area_percent,0.010913391043325877
month,0.00475031538589398
is_summer,0.002610348126109722
