suburb,days,hot_days,cooling_failures,night_heat_health_risk_days,mean_tmax,mean_night_min_temp,mean_night_cooling_rate,median_night_cooling_rate,cooling_failure_rate_all_days,night_heat_health_risk_rate_all_days
Bankstown,366,16,53,14,21.885608331967212,14.357212983606557,0.4586556771598794,0.4409887272727272,0.1448087431693989,0.03825136612021858
Blacktown,366,37,32,10,22.897121818306008,13.624717647814208,0.5548880705322349,0.5245290727272727,0.08743169398907104,0.0273224043715847
Bondi,366,4,220,69,19.96771331693989,16.911369848360657,0.2033735837901852,0.16839599999999985,0.6010928961748634,0.1885245901639344
Campbelltown,366,34,31,3,22.57658394262295,12.774855891803279,0.6015689695168508,0.5886248939393939,0.08469945355191257,0.00819672131147541
Coogee,366,4,220,69,19.96771331693989,16.911369848360657,0.2033735837901852,0.16839599999999985,0.6010928961748634,0.1885245901639344
Cronulla,366,4,220,69,19.96771331693989,16.911369848360657,0.2033735837901852,0.16839599999999985,0.6010928961748634,0.1885245901639344
Fairfield,366,37,32,10,22.897121818306008,13.624717647814208,0.5548880705322349,0.5245290727272727,0.08743169398907104,0.0273224043715847
Liverpool,366,16,53,14,21.885608331967212,14.357212983606557,0.4586556771598794,0.4409887272727272,0.1448087431693989,0.03825136612021858
Manly,366,7,142,46,20.583097453551915,16.359090665300545,0.27593627371800555,0.2492689545454545,0.3879781420765027,0.12568306010928962
Parramatta,366,37,32,10,22.897121818306008,13.624717647814208,0.5548880705322349,0.5245290727272727,0.08743169398907104,0.0273224043715847
Penrith,366,35,31,4,22.977534274590166,12.542075510655737,0.6408323562898993,0.6233062613636362,0.08469945355191257,0.01092896174863388
Ryde,366,37,32,10,22.897121818306008,13.624717647814208,0.5548880705322349,0.5245290727272727,0.08743169398907104,0.0273224043715847
